"NAME","county_name","CBSA","statefips","countyfips","year","s_white","s_aa","s_hisp"
NA,"Fairfax city, VA",47900,"51","600",1980,0.939865910263022,0.0254254770500258,0.0240845796802476
NA,"Fairfax city, VA",47900,"51","600",1970,NA,NA,NA
NA,"Falls Church city, VA",47900,"51","610",2009,0.791240096145286,0.0509213923261818,0.0937416540550165
NA,"Falls Church city, VA",47900,"51","610",2013,0.770088759720368,0.053255832220564,0.0934726258738512
NA,"Falls Church city, VA",47900,"51","610",2017,0.790146644513472,0.0481831972838258,0.106479809289894
NA,"Falls Church city, VA",47900,"51","610",2000,0.855256817962802,0.0246699431434904,0.0859593331405994
NA,"Falls Church city, VA",47900,"51","610",1990,0.890895802881604,0.0277719774483191,0.0632699937356442
NA,"Falls Church city, VA",47900,"51","610",1980,0.964792433000526,0.0276405675249606,0.0318444561219128
NA,"Falls Church city, VA",47900,"51","610",1970,NA,NA,NA
NA,"Fredericksburg city, VA",47900,"51","630",2009,0.698933405037196,0.210226763466882,0.0772160975172537
NA,"Fredericksburg city, VA",47900,"51","630",2013,0.651459642898461,0.235046855115499,0.108441633566002
NA,"Fredericksburg city, VA",47900,"51","630",2017,0.644286475919673,0.224844499733428,0.106877554647237
NA,"Fredericksburg city, VA",47900,"51","630",2000,0.733803620519736,0.204886145546968,0.0476684475335858
NA,"Fredericksburg city, VA",47900,"51","630",1990,0.758974089451832,0.216324170915016,0.0223366794555106
NA,"Fredericksburg city, VA",47900,"51","630",1980,0.798198668581125,0.198603315494061,0.0066570943741026
NA,"Fredericksburg city, VA",47900,"51","630",1970,NA,NA,NA
NA,"Manassas city, VA",47900,"51","683",2009,0.655867712815321,0.113782727298293,0.272364239714278
NA,"Manassas city, VA",47900,"51","683",2013,0.740214156726098,0.141618129562276,0.318691660096142
NA,"Manassas city, VA",47900,"51","683",2017,0.679209260736122,0.133352666811668,0.349863457309263
NA,"Manassas city, VA",47900,"51","683",2000,0.718201223850861,0.129272804895403,0.152099046534794
NA,"Manassas city, VA",47900,"51","683",1990,0.834960832707372,0.103480344815252,0.0583395929463104
NA,"Manassas city, VA",47900,"51","683",1980,0.900246145873818,0.0919808265319342,0.00770825236429589
NA,"Manassas Park city, VA",47900,"51","685",2009,0.628900541562796,0.110719504856873,0.303533052522995
NA,"Manassas Park city, VA",47900,"51","685",2013,0.679338842975207,0.133884297520661,0.334809917355372
NA,"Manassas Park city, VA",47900,"51","685",2017,0.646087981634299,0.136625922938512,0.377551653533536
NA,"Manassas Park city, VA",47900,"51","685",2000,0.726433430515063,0.107774538386783,0.152089407191448
NA,"Manassas Park city, VA",47900,"51","685",1990,0.882239382239382,0.0743985743985744,0.0472230472230472
NA,"Manassas Park city, VA",47900,"51","685",1980,0.9431330472103,0.0438381361128142,0.00613120784794605
NA,"Jefferson County, WV",47900,"54","037",2009,0.893288180976945,0.0686735839026599,0.0376050875155047
NA,"Jefferson County, WV",47900,"54","037",2013,0.882174724279987,0.0644732223679592,0.049287838761523
NA,"Jefferson County, WV",47900,"54","037",2017,0.875217789592801,0.065902681730821,0.053383148025075
NA,"Jefferson County, WV",47900,"54","037",2000,0.910002370229912,0.0560322351268073,0.015904242711543
NA,"Jefferson County, WV",47900,"54","037",1990,0.920252741746924,0.0732338696208874,0.0117185325391082
NA,"Jefferson County, WV",47900,"54","037",1980,0.909675928981585,0.0903240710184146,0.0048841660616461
NA,"Jefferson County, WV",47900,"54","037",1970,NA,NA,NA
