"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20307","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,338268.771059513,338268.771059513,1,"0"
"20317","District of Columbia",NA,11,"001",0,313,0,0,0,33,61.048,1188913.7411816,1188913.7411816,1,"0"
"20319","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,637665.110141158,637665.110141158,1,"0"
"20373","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,929410.079739928,929410.079739928,1,"0"
"20390","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,11324.4290093184,11324.4290093184,1,"0"
"20405","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,32990.2234453987,32990.2234453987,1,"0"
"20418","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,29342.6695806608,29342.6695806608,1,"0"
"20427","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,16250.5427719788,16250.5427719788,1,"0"
"20506","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,43955.8428889662,43955.8428889662,1,"0"
"20510","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,30596.5678117871,30596.5678117871,1,"0"
"20520","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,63582.8373936415,63582.8373936415,1,"0"
"20535","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,12813.4853732369,12813.4853732369,1,"0"
"20540","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,86576.0746538416,86576.0746538416,1,"0"
"20551","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,23602.5713121336,23602.5713121336,1,"0"
"20553","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,25061.2149235029,25061.2149235029,1,"0"
"20560","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,53771.6301282649,53771.6301282649,1,"0"
"20565","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,163761.117334132,163761.117334132,1,"0"
"20566","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,97943.9833134077,97943.9833134077,1,"0"
"20593","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,73438.7771688933,73438.7771688933,1,"0"
"20712","Prince George's","County",24,"033",60,3622,0.02,0.25,15,1152,482.691,1912759.04030633,1912847.50499773,1.00004624978345,"0.46"
"20712","District of Columbia",NA,11,"001",60,3622,0.02,0.25,15,1152,61.048,1912759.04030633,113.459588913932,5.93172409713254e-05,"0.46"
"20722","Prince George's","County",24,"033",31,1677,0.02,1,31,1430,482.691,3902682.20794247,3902682.20794247,1,"1"
"20722","District of Columbia",NA,11,"001",31,1677,0.02,1,31,1430,61.048,3902682.20794247,16.7679476737976,4.29651885046459e-06,"1"
"20743","District of Columbia",NA,11,"001",1073,12809,0.08,0.54,584,10486,61.048,25125227.7243896,151.030828237534,6.01112276052825e-06,"0.91"
"20743","Prince George's","County",24,"033",1073,12809,0.08,0.54,584,10486,482.691,25125227.7243896,25125239.9834898,1.00000048791996,"0.91"
"20745","Prince George's","County",24,"033",769,10100,0.08,0.45,348,5421,482.691,17026104.0343928,16999847.0066171,0.998457836994143,"0.46"
"20745","District of Columbia",NA,11,"001",769,10100,0.08,0.45,348,5421,61.048,17026104.0343928,26235.0979237556,0.00154087499235061,"0.46"
"20746","Prince George's","County",24,"033",1539,9493,0.16,0.26,402,4787,482.691,20426906.8270561,20426906.8270673,1.00000000000055,"0.46"
"20746","District of Columbia",NA,11,"001",1539,9493,0.16,0.26,402,4787,61.048,20426906.8270561,1.61317392390857e-05,7.89729907502135e-13,"0.46"
"20748","Prince George's","County",24,"033",434,14205,0.03,0.61,264,9235,482.691,23563930.1042737,23563927.6845258,0.999999897311361,"0.91"
"20748","District of Columbia",NA,11,"001",434,14205,0.03,0.61,264,9235,61.048,23563930.1042737,46.8787900209427,1.98943002349343e-06,"0.91"
