"ZCTA","STATE","COUNTY","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20735",24,"033","Prince George's","County",2141,10332,2114,12163,0.21,0.99,"Suburban","1",482.691,67401459.5561864,67401459.5561864,1,"8600000US20735","20735",67144564,283246
"20737",24,"033","Prince George's","County",158,5611,132,3225,0.03,0.84,"Suburban","1",482.691,10831073.0458471,10831073.0458471,1,"8600000US20737","20737",10717478,76041
"20740",24,"033","Prince George's","County",1378,8103,141,5497,0.17,0.1,"Suburban","0.29",482.691,20849008.1996689,20849008.1996689,1,"8600000US20740","20740",20695830,158219
"20742",24,"033","Prince George's","County",0,0,0,0,-1,-1,"Suburban","-1",482.691,1906351.04848319,1906351.04848319,1,"8600000US20742","20742",1916204,0
"20743",24,"033","Prince George's","County",1073,12809,584,10486,0.08,0.54,"Suburban","0.83",482.691,25125227.7243896,25125239.9834898,1.00000048791996,"8600000US20743","20743",25185430,7879
"20744",24,"033","Prince George's","County",2174,16327,1681,16054,0.13,0.77,"Suburban","0.83",482.691,68526809.0033345,68526809.0033345,1,"8600000US20744","20744",68201377,323005
"20745",24,"033","Prince George's","County",769,10100,348,5421,0.08,0.45,"Suburban","0.83",482.691,17026104.0343928,16999847.0066171,0.998457836994143,"8600000US20745","20745",16743866,262294
"20746",24,"033","Prince George's","County",1539,9493,402,4787,0.16,0.26,"Suburban","0.29",482.691,20426906.8270561,20426906.8270673,1.00000000000055,"8600000US20746","20746",20393129,49001
"20747",24,"033","Prince George's","County",796,13816,680,8869,0.06,0.85,"Suburban","1",482.691,19839597.2241334,19839597.2241334,1,"8600000US20747","20747",19800092,5038
"20748",24,"033","Prince George's","County",434,14205,264,9235,0.03,0.61,"Suburban","0.83",482.691,23563930.1042737,23563927.6845258,0.999999897311361,"8600000US20748","20748",23527438,12156
"20762",24,"033","Prince George's","County",351,551,331,741,0.64,0.94,"Suburban","1",482.691,15297787.2151462,15297787.2151462,1,"8600000US20762","20762",15260554,6924
"20769",24,"033","Prince George's","County",613,1562,613,2157,0.39,1,"Suburban","1",482.691,20055143.0878855,20055143.0878855,1,"8600000US20769","20769",19902927,268745
