"","statefips","countyfips","year","total_population","total_housing_units","median_housing_value","median_household_income","percent_families_with_children","county_name","state_name","state_code","total_single_family_households_since_2000","total_single_family_households_before_2000","total_2_to_4_family_households_since_2000","total_2_to_4_family_households_before_2000","total_5_to_19_family_households_since_2000","total_5_to_19_family_households_before_2000","total_20_to_49_family_households_since_2000","total_20_to_49_family_households_before_2000","total_50_or_more_family_households_since_2000","total_50_or_more_family_households_before_2000","total_owner_occupied","total_renter_occupied"
"159",51,"187","2010",37575,16034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",51,"510","2010",139966,72376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",51,"600","2010",22565,8680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",51,"610","2010",12332,5489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",51,"630","2010",24286,10467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",51,"683","2010",37821,13123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",51,"685","2010",14273,4904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",54,"037","2010",53498,22037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",11,"001","2011",593955,295510,442600,61835,41.35,"District of Columbia","District of Columbia","DC",3269,99080,824,24508,2111,40704,1989,20606,10363,56329,111381,148755
"168",24,"009","2011",88329,33561,384500,92981,48.18,"Calvert County","Maryland","MD",5330,22903,10,375,73,615,77,157,138,317,25513,4868
"169",24,"017","2011",145508,54439,341200,92135,48.98,"Charles County","Maryland","MD",8888,35656,126,1102,479,1517,249,533,383,409,40270,10035
"170",24,"021","2011",231725,89494,335600,82668,48.86,"Frederick County","Maryland","MD",12933,58009,119,2314,1823,6615,283,785,669,758,64588,20460
