FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2009e5,wv,000,0096,0000138,060,54,035,06000US5403590976,"Eastern district, Jackson County, West Virginia",3685,2905,780
ACSSF,2009e5,wv,000,0096,0000139,060,54,035,06000US5403592353,"Northern district, Jackson County, West Virginia",3592,2672,920
ACSSF,2009e5,wv,000,0096,0000140,060,54,035,06000US5403593605,"Western district, Jackson County, West Virginia",3974,3345,629
ACSSF,2009e5,wv,000,0096,0000141,060,54,037,06000US5403790504,"Charles Town district, Jefferson County, West Virginia",4946,3113,1833
ACSSF,2009e5,wv,000,0096,0000142,060,54,037,06000US5403791548,"Harpers Ferry district, Jefferson County, West Virginia",3418,2954,464
ACSSF,2009e5,wv,000,0096,0000143,060,54,037,06000US5403791740,"Kabletown district, Jefferson County, West Virginia",4290,3465,825
ACSSF,2009e5,wv,000,0096,0000144,060,54,037,06000US5403792160,"Middleway district, Jefferson County, West Virginia",3493,2764,729
ACSSF,2009e5,wv,000,0096,0000145,060,54,037,06000US5403792760,"Shepherdstown district, Jefferson County, West Virginia",3344,2564,780
ACSSF,2009e5,wv,000,0096,0000146,060,54,039,06000US5403990768,"District 1, Kanawha County, West Virginia",19916,12685,7231
ACSSF,2009e5,wv,000,0096,0000147,060,54,039,06000US5403990804,"District 2, Kanawha County, West Virginia",21447,15120,6327
ACSSF,2009e5,wv,000,0096,0000148,060,54,039,06000US5403990840,"District 3, Kanawha County, West Virginia",21085,15624,5461
ACSSF,2009e5,wv,000,0096,0000149,060,54,039,06000US5403990876,"District 4, Kanawha County, West Virginia",21142,15449,5693
ACSSF,2009e5,wv,000,0096,0000150,060,54,041,06000US5404190676,"Courthouse-Collins Settlement district, Lewis County, West Virginia",2133,1490,643
ACSSF,2009e5,wv,000,0096,0000151,060,54,041,06000US5404191176,"Freemans Creek district, Lewis County, West Virginia",2189,1657,532
ACSSF,2009e5,wv,000,0096,0000152,060,54,041,06000US5404191480,"Hackers Creek-Skin Creek district, Lewis County, West Virginia",2498,1762,736
ACSSF,2009e5,wv,000,0096,0000153,060,54,043,06000US5404390384,"Carroll district, Lincoln County, West Virginia",1536,1062,474
ACSSF,2009e5,wv,000,0096,0000154,060,54,043,06000US5404390960,"Duval district, Lincoln County, West Virginia",1232,1068,164
ACSSF,2009e5,wv,000,0096,0000155,060,54,043,06000US5404391572,"Harts Creek district, Lincoln County, West Virginia",1515,1125,390
ACSSF,2009e5,wv,000,0096,0000156,060,54,043,06000US5404391704,"Jefferson district, Lincoln County, West Virginia",501,419,82
ACSSF,2009e5,wv,000,0096,0000157,060,54,043,06000US5404391812,"Laurel Hill district, Lincoln County, West Virginia",845,621,224
ACSSF,2009e5,wv,000,0096,0000158,060,54,043,06000US5404392784,"Sheridan district, Lincoln County, West Virginia",1777,1299,478
ACSSF,2009e5,wv,000,0096,0000159,060,54,043,06000US5404393240,"Union district, Lincoln County, West Virginia",138,120,18
ACSSF,2009e5,wv,000,0096,0000160,060,54,043,06000US5404393516,"Washington district, Lincoln County, West Virginia",1263,969,294
ACSSF,2009e5,wv,000,0096,0000161,060,54,045,06000US5404590453,"Central district, Logan County, West Virginia",4869,3091,1778
ACSSF,2009e5,wv,000,0096,0000162,060,54,045,06000US5404590979,"Eastern district, Logan County, West Virginia",5720,4411,1309
ACSSF,2009e5,wv,000,0096,0000163,060,54,045,06000US5404593608,"Western district, Logan County, West Virginia",4672,3429,1243
ACSSF,2009e5,wv,000,0096,0000164,060,54,047,06000US5404790168,"Big Creek district, McDowell County, West Virginia",2578,1913,665
ACSSF,2009e5,wv,000,0096,0000165,060,54,047,06000US5404790240,"Browns Creek district, McDowell County, West Virginia",2162,1667,495
ACSSF,2009e5,wv,000,0096,0000166,060,54,047,06000US5404792345,"North Elkin district, McDowell County, West Virginia",2319,1769,550
ACSSF,2009e5,wv,000,0096,0000167,060,54,047,06000US5404792712,"Sandy River district, McDowell County, West Virginia",2433,2023,410
ACSSF,2009e5,wv,000,0096,0000168,060,54,049,06000US5404992154,"Middletown district, Marion County, West Virginia",7247,4701,2546
ACSSF,2009e5,wv,000,0096,0000169,060,54,049,06000US5404992418,"Palatine district, Marion County, West Virginia",9185,7042,2143
