FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Married-couple family:,With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,Other family:,"Male householder, no wife present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,"Female householder, no husband present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years
ACSSF,2010e5,wv,000,0034,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",1018,797,190,61,18,111,607,221,86,36,0,0,36,50,135,103,0,50,53,32
ACSSF,2010e5,wv,000,0034,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",3516,2270,707,204,183,320,1563,1246,386,296,73,109,114,90,860,509,235,58,216,351
ACSSF,2010e5,wv,000,0034,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",2758,2182,972,190,163,619,1210,576,200,135,5,43,87,65,376,302,120,16,166,74
ACSSF,2010e5,wv,000,0034,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",4218,3457,1327,305,280,742,2130,761,219,194,71,41,82,25,542,241,86,65,90,301
ACSSF,2010e5,wv,000,0034,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",5068,3774,1614,394,248,972,2160,1294,516,290,66,42,182,226,778,388,75,5,308,390
ACSSF,2010e5,wv,000,0034,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",5219,4033,1763,577,370,816,2270,1186,234,74,24,0,50,160,952,635,206,135,294,317
ACSSF,2010e5,wv,000,0034,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",5696,4507,1597,308,388,901,2910,1189,463,250,99,38,113,213,726,288,101,24,163,438
ACSSF,2010e5,wv,000,0034,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",2534,1910,850,115,162,573,1060,624,201,27,0,0,27,174,423,161,33,49,79,262
ACSSF,2010e5,wv,000,0034,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",2018,1634,614,107,150,357,1020,384,173,105,37,0,68,68,211,82,32,0,50,129
ACSSF,2010e5,wv,000,0034,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",2628,2153,673,145,121,407,1480,475,117,24,7,0,17,93,358,173,7,9,157,185
