FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
ACSSF,2010e5,wv,000,0053,0000144,060,54,037,06000US5403792160,"Middleway district, Jefferson County, West Virginia",55957
ACSSF,2010e5,wv,000,0053,0000145,060,54,037,06000US5403792760,"Shepherdstown district, Jefferson County, West Virginia",85289
ACSSF,2010e5,wv,000,0053,0000146,060,54,039,06000US5403990768,"District 1, Kanawha County, West Virginia",36969
ACSSF,2010e5,wv,000,0053,0000147,060,54,039,06000US5403990804,"District 2, Kanawha County, West Virginia",46625
ACSSF,2010e5,wv,000,0053,0000148,060,54,039,06000US5403990840,"District 3, Kanawha County, West Virginia",43952
ACSSF,2010e5,wv,000,0053,0000149,060,54,039,06000US5403990876,"District 4, Kanawha County, West Virginia",41904
ACSSF,2010e5,wv,000,0053,0000150,060,54,041,06000US5404190676,"Courthouse-Collins Settlement district, Lewis County, West Virginia",28196
ACSSF,2010e5,wv,000,0053,0000151,060,54,041,06000US5404191176,"Freemans Creek district, Lewis County, West Virginia",36753
ACSSF,2010e5,wv,000,0053,0000152,060,54,041,06000US5404191480,"Hackers Creek-Skin Creek district, Lewis County, West Virginia",33431
ACSSF,2010e5,wv,000,0053,0000153,060,54,043,06000US5404390384,"Carroll district, Lincoln County, West Virginia",30764
ACSSF,2010e5,wv,000,0053,0000154,060,54,043,06000US5404390960,"Duval district, Lincoln County, West Virginia",39592
ACSSF,2010e5,wv,000,0053,0000155,060,54,043,06000US5404391572,"Harts Creek district, Lincoln County, West Virginia",32543
ACSSF,2010e5,wv,000,0053,0000156,060,54,043,06000US5404391704,"Jefferson district, Lincoln County, West Virginia",24714
ACSSF,2010e5,wv,000,0053,0000157,060,54,043,06000US5404391812,"Laurel Hill district, Lincoln County, West Virginia",29329
ACSSF,2010e5,wv,000,0053,0000158,060,54,043,06000US5404392784,"Sheridan district, Lincoln County, West Virginia",26800
ACSSF,2010e5,wv,000,0053,0000159,060,54,043,06000US5404393240,"Union district, Lincoln County, West Virginia",31250
ACSSF,2010e5,wv,000,0053,0000160,060,54,043,06000US5404393516,"Washington district, Lincoln County, West Virginia",29485
ACSSF,2010e5,wv,000,0053,0000161,060,54,045,06000US5404590453,"Central district, Logan County, West Virginia",33298
ACSSF,2010e5,wv,000,0053,0000162,060,54,045,06000US5404590979,"Eastern district, Logan County, West Virginia",35511
ACSSF,2010e5,wv,000,0053,0000163,060,54,045,06000US5404593608,"Western district, Logan County, West Virginia",38145
ACSSF,2010e5,wv,000,0053,0000164,060,54,047,06000US5404790168,"Big Creek district, McDowell County, West Virginia",19494
ACSSF,2010e5,wv,000,0053,0000165,060,54,047,06000US5404790240,"Browns Creek district, McDowell County, West Virginia",25486
ACSSF,2010e5,wv,000,0053,0000166,060,54,047,06000US5404792345,"North Elkin district, McDowell County, West Virginia",23273
ACSSF,2010e5,wv,000,0053,0000167,060,54,047,06000US5404792712,"Sandy River district, McDowell County, West Virginia",22137
ACSSF,2010e5,wv,000,0053,0000168,060,54,049,06000US5404992154,"Middletown district, Marion County, West Virginia",32983
ACSSF,2010e5,wv,000,0053,0000169,060,54,049,06000US5404992418,"Palatine district, Marion County, West Virginia",42667
ACSSF,2010e5,wv,000,0053,0000170,060,54,049,06000US5404993594,"West Augusta district, Marion County, West Virginia",37506
ACSSF,2010e5,wv,000,0053,0000171,060,54,051,06000US5405190780,"District 1, Marshall County, West Virginia",37141
ACSSF,2010e5,wv,000,0053,0000172,060,54,051,06000US5405190816,"District 2, Marshall County, West Virginia",29383
ACSSF,2010e5,wv,000,0053,0000173,060,54,051,06000US5405190852,"District 3, Marshall County, West Virginia",36174
ACSSF,2010e5,wv,000,0053,0000174,060,54,053,06000US5405390048,"Arbuckle district, Mason County, West Virginia",39885
ACSSF,2010e5,wv,000,0053,0000175,060,54,053,06000US5405390612,"Clendenin district, Mason County, West Virginia",32445
ACSSF,2010e5,wv,000,0053,0000176,060,54,053,06000US5405390648,"Cologne district, Mason County, West Virginia",33042
ACSSF,2010e5,wv,000,0053,0000177,060,54,053,06000US5405390660,"Cooper district, Mason County, West Virginia",40000
ACSSF,2010e5,wv,000,0053,0000178,060,54,053,06000US5405391260,"Graham district, Mason County, West Virginia",32104
ACSSF,2010e5,wv,000,0053,0000179,060,54,053,06000US5405391512,"Hannan district, Mason County, West Virginia",34761
ACSSF,2010e5,wv,000,0053,0000180,060,54,053,06000US5405391860,"Lewis district, Mason County, West Virginia",42410
ACSSF,2010e5,wv,000,0053,0000181,060,54,053,06000US5405392652,"Robinson district, Mason County, West Virginia",28875
ACSSF,2010e5,wv,000,0053,0000182,060,54,053,06000US5405393264,"Union district, Mason County, West Virginia",31190
ACSSF,2010e5,wv,000,0053,0000183,060,54,053,06000US5405393432,"Waggener district, Mason County, West Virginia",35609
ACSSF,2010e5,wv,000,0053,0000184,060,54,055,06000US5405590900,"District I, Mercer County, West Virginia",30510
ACSSF,2010e5,wv,000,0053,0000185,060,54,055,06000US5405590912,"District II, Mercer County, West Virginia",32496
ACSSF,2010e5,wv,000,0053,0000186,060,54,055,06000US5405590924,"District III, Mercer County, West Virginia",33617
ACSSF,2010e5,wv,000,0053,0000187,060,54,057,06000US5405790784,"District 1, Mineral County, West Virginia",38969
ACSSF,2010e5,wv,000,0053,0000188,060,54,057,06000US5405790820,"District 2, Mineral County, West Virginia",27951
ACSSF,2010e5,wv,000,0053,0000189,060,54,057,06000US5405790856,"District 3, Mineral County, West Virginia",43517
ACSSF,2010e5,wv,000,0053,0000190,060,54,059,06000US5405990141,"Beech Ben Mate district, Mingo County, West Virginia",32796
ACSSF,2010e5,wv,000,0053,0000191,060,54,059,06000US5405991770,"Kermit Harvey district, Mingo County, West Virginia",24899
ACSSF,2010e5,wv,000,0053,0000192,060,54,059,06000US5405991848,"Lee district, Mingo County, West Virginia",38553
ACSSF,2010e5,wv,000,0053,0000193,060,54,059,06000US5405992064,"Magnolia district, Mingo County, West Virginia",33142
ACSSF,2010e5,wv,000,0053,0000194,060,54,059,06000US5405993012,"Stafford district, Mingo County, West Virginia",32940
ACSSF,2010e5,wv,000,0053,0000195,060,54,059,06000US5405993162,"Tug Hardee district, Mingo County, West Virginia",41042
ACSSF,2010e5,wv,000,0053,0000196,060,54,059,06000US5405993696,"Williamson district, Mingo County, West Virginia",28829
ACSSF,2010e5,wv,000,0053,0000197,060,54,061,06000US5406190456,"Central district, Monongalia County, West Virginia",26069
ACSSF,2010e5,wv,000,0053,0000198,060,54,061,06000US5406190983,"Eastern district, Monongalia County, West Virginia",45192
ACSSF,2010e5,wv,000,0053,0000199,060,54,061,06000US5406193612,"Western district, Monongalia County, West Virginia",44689
ACSSF,2010e5,wv,000,0053,0000200,060,54,063,06000US5406390457,"Central district, Monroe County, West Virginia",38342
ACSSF,2010e5,wv,000,0053,0000201,060,54,063,06000US5406390984,"Eastern district, Monroe County, West Virginia",43874
ACSSF,2010e5,wv,000,0053,0000202,060,54,063,06000US5406393613,"Western district, Monroe County, West Virginia",35943
ACSSF,2010e5,wv,000,0053,0000203,060,54,065,06000US5406590786,"District 1, Morgan County, West Virginia",25271
ACSSF,2010e5,wv,000,0053,0000204,060,54,065,06000US5406590822,"District 2, Morgan County, West Virginia",36315
ACSSF,2010e5,wv,000,0053,0000205,060,54,065,06000US5406590858,"District 3, Morgan County, West Virginia",44375
ACSSF,2010e5,wv,000,0053,0000206,060,54,067,06000US5406790132,"Beaver district, Nicholas County, West Virginia",26623
ACSSF,2010e5,wv,000,0053,0000207,060,54,067,06000US5406791344,"Grant district, Nicholas County, West Virginia",41488
ACSSF,2010e5,wv,000,0053,0000208,060,54,067,06000US5406791500,"Hamilton district, Nicholas County, West Virginia",44718
ACSSF,2010e5,wv,000,0053,0000209,060,54,067,06000US5406791716,"Jefferson district, Nicholas County, West Virginia",37420
ACSSF,2010e5,wv,000,0053,0000210,060,54,067,06000US5406791752,"Kentucky district, Nicholas County, West Virginia",43425
ACSSF,2010e5,wv,000,0053,0000211,060,54,067,06000US5406793072,"Summersville district, Nicholas County, West Virginia",43114
ACSSF,2010e5,wv,000,0053,0000212,060,54,067,06000US5406793660,"Wilderness district, Nicholas County, West Virginia",45163
ACSSF,2010e5,wv,000,0053,0000213,060,54,069,06000US5406990788,"District 1, Ohio County, West Virginia",48107
ACSSF,2010e5,wv,000,0053,0000214,060,54,069,06000US5406990824,"District 2, Ohio County, West Virginia",28740
ACSSF,2010e5,wv,000,0053,0000215,060,54,069,06000US5406990862,"District 3, Ohio County, West Virginia",41625
ACSSF,2010e5,wv,000,0053,0000216,060,54,071,06000US5407190462,"Central district, Pendleton County, West Virginia",40000
ACSSF,2010e5,wv,000,0053,0000217,060,54,071,06000US5407190987,"Eastern district, Pendleton County, West Virginia",31607
ACSSF,2010e5,wv,000,0053,0000218,060,54,071,06000US5407193615,"Western district, Pendleton County, West Virginia",30742
ACSSF,2010e5,wv,000,0053,0000219,060,54,073,06000US5407390892,"District A, Pleasants County, West Virginia",51893
ACSSF,2010e5,wv,000,0053,0000220,060,54,073,06000US5407390894,"District B, Pleasants County, West Virginia",26851
ACSSF,2010e5,wv,000,0053,0000221,060,54,073,06000US5407390896,"District C, Pleasants County, West Virginia",40446
ACSSF,2010e5,wv,000,0053,0000222,060,54,073,06000US5407390898,"District D, Pleasants County, West Virginia",48750
ACSSF,2010e5,wv,000,0053,0000223,060,54,075,06000US5407590996,"Edray district, Pocahontas County, West Virginia",31923
ACSSF,2010e5,wv,000,0053,0000224,060,54,075,06000US5407591416,"Greenbank district, Pocahontas County, West Virginia",37188
ACSSF,2010e5,wv,000,0053,0000225,060,54,075,06000US5407591656,"Huntersville district, Pocahontas County, West Virginia",31161
ACSSF,2010e5,wv,000,0053,0000226,060,54,075,06000US5407591944,"Little Levels district, Pocahontas County, West Virginia",30755
ACSSF,2010e5,wv,000,0053,0000227,060,54,077,06000US5407791096,"Fifth district, Preston County, West Virginia",37666
ACSSF,2010e5,wv,000,0053,0000228,060,54,077,06000US5407791100,"First district, Preston County, West Virginia",45297
ACSSF,2010e5,wv,000,0053,0000229,060,54,077,06000US5407791134,"Fourth district, Preston County, West Virginia",34673
ACSSF,2010e5,wv,000,0053,0000230,060,54,077,06000US5407792742,"Second district, Preston County, West Virginia",44432
ACSSF,2010e5,wv,000,0053,0000231,060,54,077,06000US5407793102,"Third district, Preston County, West Virginia",42798
ACSSF,2010e5,wv,000,0053,0000232,060,54,079,06000US5407990292,"Buffalo-Union district, Putnam County, West Virginia",44398
ACSSF,2010e5,wv,000,0053,0000233,060,54,079,06000US5407990720,"Curry district, Putnam County, West Virginia",45387
ACSSF,2010e5,wv,000,0053,0000234,060,54,079,06000US5407992508,"Pocatalico district, Putnam County, West Virginia",41023
ACSSF,2010e5,wv,000,0053,0000235,060,54,079,06000US5407992736,"Scott district, Putnam County, West Virginia",67500
