FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2013e5,wv,000,0036,0000143,060,54,037,06000US5403791740,"Kabletown district, Jefferson County, West Virginia",3810,3028,2692,336,53,283,782,582,200
ACSSF,2013e5,wv,000,0036,0000144,060,54,037,06000US5403792160,"Middleway district, Jefferson County, West Virginia",4116,3037,2124,913,259,654,1079,850,229
ACSSF,2013e5,wv,000,0036,0000145,060,54,037,06000US5403792760,"Shepherdstown district, Jefferson County, West Virginia",3383,2293,1887,406,159,247,1090,739,351
ACSSF,2013e5,wv,000,0036,0000146,060,54,039,06000US5403990768,"District 1, Kanawha County, West Virginia",18646,10429,7317,3112,758,2354,8217,7217,1000
ACSSF,2013e5,wv,000,0036,0000147,060,54,039,06000US5403990804,"District 2, Kanawha County, West Virginia",22741,14032,9898,4134,942,3192,8709,7601,1108
ACSSF,2013e5,wv,000,0036,0000148,060,54,039,06000US5403990840,"District 3, Kanawha County, West Virginia",20708,13320,10090,3230,950,2280,7388,6204,1184
ACSSF,2013e5,wv,000,0036,0000149,060,54,039,06000US5403990876,"District 4, Kanawha County, West Virginia",20661,13066,9632,3434,1014,2420,7595,6457,1138
ACSSF,2013e5,wv,000,0036,0000150,060,54,041,06000US5404190676,"Courthouse-Collins Settlement district, Lewis County, West Virginia",1924,1222,897,325,102,223,702,601,101
ACSSF,2013e5,wv,000,0036,0000151,060,54,041,06000US5404191176,"Freemans Creek district, Lewis County, West Virginia",2125,1482,1200,282,98,184,643,509,134
ACSSF,2013e5,wv,000,0036,0000152,060,54,041,06000US5404191480,"Hackers Creek-Skin Creek district, Lewis County, West Virginia",2402,1638,1243,395,123,272,764,697,67
ACSSF,2013e5,wv,000,0036,0000153,060,54,043,06000US5404390770,"District 1, Lincoln County, West Virginia",2816,2231,1723,508,90,418,585,538,47
ACSSF,2013e5,wv,000,0036,0000154,060,54,043,06000US5404390806,"District 2, Lincoln County, West Virginia",2710,1807,1409,398,135,263,903,834,69
ACSSF,2013e5,wv,000,0036,0000155,060,54,043,06000US5404390842,"District 3, Lincoln County, West Virginia",2890,2074,1422,652,240,412,816,753,63
ACSSF,2013e5,wv,000,0036,0000156,060,54,045,06000US5404590453,"Central district, Logan County, West Virginia",4508,3162,2212,950,340,610,1346,1160,186
ACSSF,2013e5,wv,000,0036,0000157,060,54,045,06000US5404590979,"Eastern district, Logan County, West Virginia",5710,4054,3093,961,229,732,1656,1396,260
ACSSF,2013e5,wv,000,0036,0000158,060,54,045,06000US5404593608,"Western district, Logan County, West Virginia",4481,3176,2266,910,287,623,1305,1033,272
ACSSF,2013e5,wv,000,0036,0000159,060,54,047,06000US5404790168,"Big Creek district, McDowell County, West Virginia",2249,1524,1100,424,163,261,725,594,131
ACSSF,2013e5,wv,000,0036,0000160,060,54,047,06000US5404790240,"Browns Creek district, McDowell County, West Virginia",2081,1302,934,368,114,254,779,704,75
ACSSF,2013e5,wv,000,0036,0000161,060,54,047,06000US5404792345,"North Elkin district, McDowell County, West Virginia",1702,1106,771,335,62,273,596,500,96
ACSSF,2013e5,wv,000,0036,0000162,060,54,047,06000US5404792712,"Sandy River district, McDowell County, West Virginia",2197,1462,1078,384,90,294,735,656,79
ACSSF,2013e5,wv,000,0036,0000163,060,54,049,06000US5404992154,"Middletown district, Marion County, West Virginia",7004,3906,2796,1110,264,846,3098,2434,664
ACSSF,2013e5,wv,000,0036,0000164,060,54,049,06000US5404992418,"Palatine district, Marion County, West Virginia",9014,6181,4593,1588,356,1232,2833,2488,345
ACSSF,2013e5,wv,000,0036,0000165,060,54,049,06000US5404993594,"West Augusta district, Marion County, West Virginia",6575,4655,3605,1050,387,663,1920,1610,310
ACSSF,2013e5,wv,000,0036,0000166,060,54,051,06000US5405190780,"District 1, Marshall County, West Virginia",4435,3124,2502,622,154,468,1311,1181,130
ACSSF,2013e5,wv,000,0036,0000167,060,54,051,06000US5405190816,"District 2, Marshall County, West Virginia",4690,2743,2005,738,237,501,1947,1706,241
ACSSF,2013e5,wv,000,0036,0000168,060,54,051,06000US5405190852,"District 3, Marshall County, West Virginia",4917,3528,2873,655,228,427,1389,1171,218
ACSSF,2013e5,wv,000,0036,0000169,060,54,053,06000US5405390048,"Arbuckle district, Mason County, West Virginia",458,418,305,113,70,43,40,29,11
ACSSF,2013e5,wv,000,0036,0000170,060,54,053,06000US5405390612,"Clendenin district, Mason County, West Virginia",1445,1047,866,181,66,115,398,312,86
ACSSF,2013e5,wv,000,0036,0000171,060,54,053,06000US5405390648,"Cologne district, Mason County, West Virginia",615,422,255,167,52,115,193,189,4
ACSSF,2013e5,wv,000,0036,0000172,060,54,053,06000US5405390660,"Cooper district, Mason County, West Virginia",755,553,443,110,42,68,202,150,52
ACSSF,2013e5,wv,000,0036,0000173,060,54,053,06000US5405391260,"Graham district, Mason County, West Virginia",1132,775,579,196,54,142,357,340,17
ACSSF,2013e5,wv,000,0036,0000174,060,54,053,06000US5405391512,"Hannan district, Mason County, West Virginia",948,634,507,127,0,127,314,299,15
