"GEO_ID","STATE","COUNTY","NAME","LSAD","CENSUSAREA","ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","zcta_area","intersected_area","percent_intersected_area"
"0500000US54037","54","037","Jefferson","County",209.635,"25414","8600000US25414","25414",141470951,1890740,143332021.140222,143332021.140222,1
"0500000US24021","24","021","Frederick","County",660.221,"21762","8600000US21762","21762",952883,0,942473.198944092,942473.198944092,1
"0500000US51059","51","059","Fairfax","County",390.969,"22310","8600000US22310","22310",18571634,35307,18630002.7871303,18625827.4419564,0.999775880593167
"0500000US51059","51","059","Fairfax","County",390.969,"22102","8600000US22102","22102",27139748,169423,27337777.4809949,27337773.7193292,0.999999862400454
"0500000US51059","51","059","Fairfax","County",390.969,"22182","8600000US22182","22182",30481900,138516,30613726.2708602,30613726.2708602,1
"0500000US51061","51","061","Fauquier","County",647.449,"20137","8600000US20137","20137",44555821,206190,44751073.5333469,31640824.1925971,0.707040562256445
"0500000US11001","11","001","District of Columbia",NA,61.048,"20593","8600000US20593","20593",77132,0,73438.7771637598,73438.7771637598,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20052","8600000US20052","20052",7062,0,7060.79088062793,7060.79088062793,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20009","8600000US20009","20009",3404526,25629,3440816.01023304,3440816.01023304,1
"0500000US51059","51","059","Fairfax","County",390.969,"22003","8600000US22003","22003",32241099,136799,32390098.9336527,32390098.9336527,1
"0500000US51157","51","157","Rappahannock","County",266.227,"22627","8600000US22627","22627",85074866,354639,85409199.3491484,85164705.3534893,0.997137381013729
"0500000US11001","11","001","District of Columbia",NA,61.048,"20405","8600000US20405","20405",33011,0,32990.2234451603,32990.2234451603,1
"0500000US24009","24","009","Calvert","County",213.152,"20732","8600000US20732","20732",26384780,6619577,27062576.0985433,27062557.3362775,0.999999306708063
"0500000US24031","24","031","Montgomery","County",491.254,"20877","8600000US20877","20877",14924569,89639,14983548.7681012,14983548.7681012,1
"0500000US24021","24","021","Frederick","County",660.221,"21774","8600000US21774","21774",37289770,668031,37970558.4633772,37970558.4633772,1
"0500000US24017","24","017","Charles","County",457.749,"20601","8600000US20601","20601",115640607,387684,116051534.846748,105145998.51238,0.906028504071325
"0500000US24017","24","017","Charles","County",457.749,"20637","8600000US20637","20637",80154890,3428514,83539558.9947912,83451807.9228398,0.998949586602955
"0500000US54037","54","037","Jefferson","County",209.635,"25438","8600000US25438","25438",22977354,2841,23029450.227551,23029450.227551,1
"0500000US51157","51","157","Rappahannock","County",266.227,"22740","8600000US22740","22740",204379964,168186,204550568.159831,196428956.233281,0.960295334304798
"0500000US51510","51","510","Alexandria","city",15.027,"22311","8600000US22311","22311",3985029,16332,4042901.72215226,3168455.27583963,0.783708210980919
