"STATE","COUNTY","ZCTA","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD"
"24","033","20723",482.691,35085276.6334101,16753.2395291179,0.0004775005682345,"Prince George's","County"
"24","033","20740",482.691,20849008.1996689,20849008.1996689,1,"Prince George's","County"
"24","033","20607",482.691,54891070.6801748,53001131.6587669,0.96556928116014,"Prince George's","County"
"24","033","20018",482.691,7834941.73360515,91.163010597229,1.16354420615814e-05,"Prince George's","County"
"51","013","22214",25.974,104034.585793912,104034.585793912,1,"Arlington","County"
"51","013","22209",25.974,1515055.63567436,1515047.90665364,0.999994898523505,"Arlington","County"
"51","013","22202",25.974,10176992.6196391,9985925.73322425,0.981225604306115,"Arlington","County"
"51","013","22046",25.974,7318112.41257131,23.9330720901489,3.27038869326957e-06,"Arlington","County"
"51","013","22204",25.974,10679668.105732,10677722.1917861,0.999817792657351,"Arlington","County"
"51","013","22205",25.974,7032107.5675745,7015089.01793242,0.997579879221336,"Arlington","County"
"51","013","22207",25.974,16571002.7153115,16450183.8930104,0.99270902163395,"Arlington","County"
"51","013","22213",25.974,1507634.37275791,1485114.78473318,0.985062964581034,"Arlington","County"
"51","013","22201",25.974,6052536.18618256,6052536.18618256,1,"Arlington","County"
"51","013","22041",25.974,7576707.46040642,1123.7989944499,0.000148322869837925,"Arlington","County"
"51","013","22044",25.974,5860507.15184686,2504.06936645508,0.000427278612852807,"Arlington","County"
