estimate_year,index,MA_009,MA_017,MA_021,MA_023,MA_025,NH_015,NH_017
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,B11005_11_households_with_no_people_under_18_years,198657,409920,179565,122729,230593,83051,34621
2013-2017,B11005_12_family_households,102754,202712,91337,70202,79079,47358,17589
2013-2017,B11005_13_married-couple_family,81630,165832,74459,57960,51319,40888,15358
2013-2017,B11005_14_other_family,21124,36880,16878,12242,27760,6470,2231
2013-2017,"B11005_15_male_householder,_no_wife_present",6382,12037,5062,3635,8173,2208,733
2013-2017,"B11005_16_female_householder,_no_husband_present",14742,24843,11816,8607,19587,4262,1498
2013-2017,B11005_17_nonfamily_households,95903,207208,88228,52527,151514,35693,17032
2013-2017,B11005_18_male_householder,40056,91991,35558,21927,71165,16237,7831
2013-2017,B11005_19_female_householder,55847,115217,52670,30600,80349,19456,9201
2013-2017,B11016_1_total,291659,593784,262324,184195,303676,119955,48543
2013-2017,B11016_2_family_households,195222,385660,173787,131072,151644,83861,31265
2013-2017,B11016_3_2-person_household,78575,157584,69122,53717,63928,36946,14276
2013-2017,B11016_4_3-person_household,46893,94368,40717,30915,38563,19698,7824
2013-2017,B11016_5_4-person_household,43437,88723,40638,27536,28547,18113,6268
2013-2017,B11016_6_5-person_household,17732,31399,16321,12977,12256,6699,2045
2013-2017,B11016_7_6-person_household,5632,8975,4926,4112,5286,1603,716
2013-2017,B11016_8_7-or-more_person_household,2953,4611,2063,1815,3064,802,136
2013-2017,B11016_9_nonfamily_households,96437,208124,88537,53123,152032,36094,17278
2013-2017,B11016_10_1-person_household,80048,157103,70933,44263,108444,27864,12102
2013-2017,B11016_11_2-person_household,13736,38387,14280,7338,31029,7064,4081
2013-2017,B11016_12_3-person_household,1956,8171,2054,1075,8421,886,692
2013-2017,B11016_13_4-person_household,593,3494,893,302,3194,206,250
2013-2017,B11016_14_5-person_household,97,738,181,78,712,60,107
2013-2017,B11016_15_6-person_household,7,186,164,67,150,11,37
2013-2017,B11016_16_7-or-more_person_household,0,45,32,0,82,3,9
