estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,"B25127_45_mobile_home,_boat,_rv,_van,_etc.",684,3,0,48,159,0,160,11,60,3,162,0,120,68
2009-2013,B25127_46_built_1980_to_1999,97043,4305,29701,973,8375,1137,17125,5767,8546,671,8247,268,5231,5140
2009-2013,"B25127_47_1,_detached__or_attached",10989,763,5626,323,2849,547,5024,2730,3620,179,1416,140,954,827
2009-2013,B25127_48_2_to_4,18518,707,2480,136,1263,181,1729,897,785,148,1036,36,1410,1014
2009-2013,B25127_49_5_to_19,26500,2026,13153,201,2454,256,5893,1618,2488,163,3713,32,2332,1911
2009-2013,B25127_50_20_to_49,8220,394,3498,45,699,85,1774,257,621,29,878,15,309,911
2009-2013,B25127_51_50_or_more,31606,338,4865,128,1029,66,2370,229,758,9,831,0,126,375
2009-2013,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",1210,77,79,140,81,2,335,36,274,143,373,45,100,102
2009-2013,B25127_53_built_1960_to_1979,195535,4734,34939,1050,12591,1366,18444,4930,11455,541,17411,424,4557,4866
2009-2013,"B25127_54_1,_detached__or_attached",28567,857,6855,394,3214,814,5704,2331,4281,277,5505,299,1615,1160
2009-2013,B25127_55_2_to_4,36616,667,2959,213,2585,116,2985,766,2143,106,2863,47,1278,930
2009-2013,B25127_56_5_to_19,60412,2016,14358,329,4299,244,5291,1232,2957,89,6300,40,1057,1567
2009-2013,B25127_57_20_to_49,21970,438,5073,57,1080,160,1994,245,703,3,1199,15,381,723
2009-2013,B25127_58_50_or_more,46544,756,5672,32,1370,32,1973,318,1285,0,1090,0,123,371
2009-2013,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",1426,0,22,25,43,0,497,38,86,66,454,23,103,115
2009-2013,B25127_60_built_1940_to_1959,153758,1591,8839,495,6121,648,7869,2930,5989,551,14525,255,1587,3489
2009-2013,"B25127_61_1,_detached__or_attached",35090,695,4652,352,3473,365,4812,1916,3485,409,9638,217,1126,1914
2009-2013,B25127_62_2_to_4,48892,347,903,73,1333,183,1298,527,884,63,2353,15,185,1033
2009-2013,B25127_63_5_to_19,38788,323,1999,70,913,63,1204,427,913,46,1821,23,220,236
2009-2013,B25127_64_20_to_49,12498,29,545,0,205,37,327,28,173,0,217,0,21,219
2009-2013,B25127_65_50_or_more,18323,188,655,0,169,0,228,32,512,0,479,0,28,50
2009-2013,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",167,9,85,0,28,0,0,0,22,33,17,0,7,37
2009-2013,B25127_67_built_1939_or_earlier,297805,2133,4231,720,9323,515,6667,2717,5892,330,10685,302,1210,4483
2009-2013,"B25127_68_1,_detached__or_attached",29415,968,1833,361,3425,341,2855,1531,2664,203,4763,263,608,1775
2009-2013,B25127_69_2_to_4,146952,989,1143,208,4352,49,2213,905,2274,116,3431,7,373,2142
2009-2013,B25127_70_5_to_19,67165,139,535,134,682,77,1045,224,564,7,1845,32,127,324
2009-2013,B25127_71_20_to_49,23030,7,318,15,375,0,363,40,103,4,174,0,78,172
2009-2013,B25127_72_50_or_more,30854,30,392,0,479,10,171,9,217,0,465,0,24,70
2009-2013,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",389,0,10,2,10,38,20,8,70,0,7,0,0,0
2009-2013,B03002_1_total,5212372,104820,922803,50064,518380,116366,702099,308060,679688,33398,494250,14151,165168,166874
2009-2013,B03002_2_not_hispanic_or_latino,3950216,93965,798114,45834,358692,97823,560561,272161,571858,31569,409933,13394,150706,146882
2009-2013,B03002_3_white_alone,2275759,82991,643794,44314,305002,85819,454790,256616,453732,30867,272202,13148,141172,129617
2009-2013,B03002_4_black_or_african_american_alone,1256346,6432,41195,651,27358,6452,46043,3210,73290,242,123184,29,5069,11388
2009-2013,B03002_5_american_indian_and_alaska_native_alone,5599,121,653,22,731,28,717,173,395,13,1040,7,389,434
2009-2013,B03002_6_asian_alone,333415,2508,94632,212,17804,3804,44268,7888,31743,57,6187,34,2213,2496
2009-2013,B03002_7_native_hawaiian_and_other_pacific_islander_alone,765,36,329,0,81,0,276,5,112,0,342,13,49,22
2009-2013,B03002_8_some_other_race_alone,7497,72,1889,2,1338,43,1252,393,796,0,679,4,109,145
2009-2013,B03002_9_two_or_more_races,70835,1805,15622,633,6378,1677,13215,3876,11790,390,6299,159,1705,2780
2009-2013,B03002_10_two_races_including_some_other_race,5034,53,1285,20,237,34,721,242,297,0,470,0,0,150
2009-2013,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",65801,1752,14337,613,6141,1643,12494,3634,11493,390,5829,159,1705,2630
2009-2013,B03002_12_hispanic_or_latino,1262156,10855,124689,4230,159688,18543,141538,35899,107830,1829,84317,757,14462,19992
2009-2013,B03002_13_white_alone,680127,4969,96945,3335,75301,11936,98015,23015,65224,1697,35700,652,11493,16151
2009-2013,B03002_14_black_or_african_american_alone,15966,225,1358,3,842,198,1916,459,1108,20,1774,0,431,267
2009-2013,B03002_15_american_indian_and_alaska_native_alone,7045,141,948,0,966,233,694,333,809,38,538,8,57,125
2009-2013,B03002_16_asian_alone,2640,28,458,24,144,25,473,163,298,0,103,0,66,11
2009-2013,B03002_17_native_hawaiian_and_other_pacific_islander_alone,340,0,14,0,19,0,24,33,14,0,45,0,0,7
2009-2013,B03002_18_some_other_race_alone,522392,4611,20184,841,77897,4958,35439,10306,35875,48,40328,37,1724,2654
2009-2013,B03002_19_two_or_more_races,33646,881,4782,27,4519,1193,4977,1590,4502,26,5829,60,691,777
2009-2013,B03002_20_two_races_including_some_other_race,22366,710,2710,27,2875,816,2576,967,3036,0,3963,1,298,525
2009-2013,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",11280,171,2072,0,1644,377,2401,623,1466,26,1866,59,393,252
2009-2013,B11005_1_total,1933335,37844,336028,18082,170358,38075,241072,108852,222652,11924,182080,5374,61502,62560
2009-2013,B11005_2_households_with_one_or_more_people_under_18_years,611641,11901,117795,7052,69735,18110,97651,42596,95493,4350,61079,1591,20954,22597
2009-2013,B11005_3_family_households,607969,11818,117267,6971,69257,17961,97101,42371,94882,4338,60475,1576,20690,22325
2009-2013,B11005_4_married-couple_family,377151,8528,92722,4938,51437,14368,74486,33076,73012,3152,35297,1080,14769,14281
2009-2013,B11005_5_other_family,230818,3290,24545,2033,17820,3593,22615,9295,21870,1186,25178,496,5921,8044
2009-2013,"B11005_6_male_householder,_no_wife_present",48094,875,6344,531,5236,784,5830,2629,5672,472,5217,175,1321,1750
2009-2013,"B11005_7_female_householder,_no_husband_present",182724,2415,18201,1502,12584,2809,16785,6666,16198,714,19961,321,4600,6294
2009-2013,B11005_8_nonfamily_households,3672,83,528,81,478,149,550,225,611,12,604,15,264,272
2009-2013,B11005_9_male_householder,2579,47,469,75,384,22,488,157,539,12,526,10,179,226
2009-2013,B11005_10_female_householder,1093,36,59,6,94,127,62,68,72,0,78,5,85,46
2009-2013,B11005_11_households_with_no_people_under_18_years,1321694,25943,218233,11030,100623,19965,143421,66256,127159,7574,121001,3783,40548,39963
2009-2013,B11005_12_family_households,578640,11146,121557,5820,58232,11518,81970,40170,76248,4809,61834,2283,22760,19616
2009-2013,B11005_13_married-couple_family,420400,9453,102019,4990,48442,10194,69202,34458,64190,4453,47129,1976,19173,16116
2009-2013,B11005_14_other_family,158240,1693,19538,830,9790,1324,12768,5712,12058,356,14705,307,3587,3500
2009-2013,"B11005_15_male_householder,_no_wife_present",47113,519,6085,300,3790,650,4074,1963,4678,84,4263,125,1040,1183
2009-2013,"B11005_16_female_householder,_no_husband_present",111127,1174,13453,530,6000,674,8694,3749,7380,272,10442,182,2547,2317
2009-2013,B11005_17_nonfamily_households,743054,14797,96676,5210,42391,8447,61451,26086,50911,2765,59167,1500,17788,20347
2009-2013,B11005_18_male_householder,337124,7163,41781,2526,18989,4477,27576,12583,23532,1236,27555,791,8575,9969
2009-2013,B11005_19_female_householder,405930,7634,54895,2684,23402,3970,33875,13503,27379,1529,31612,709,9213,10378
2009-2013,B11016_1_total,1933335,37844,336028,18082,170358,38075,241072,108852,222652,11924,182080,5374,61502,62560
2009-2013,B11016_2_family_households,1186609,22964,238824,12791,127489,29479,179071,82541,171130,9147,122309,3859,43450,41941
2009-2013,B11016_3_2-person_household,452204,9050,91104,4756,45588,9087,64537,31825,57161,4211,50990,1791,18713,17238
2009-2013,B11016_4_3-person_household,278909,5374,55817,2883,25637,6184,39962,17924,38218,1761,28088,971,10072,10019
2009-2013,B11016_5_4-person_household,239002,4932,55580,3121,29571,8341,43752,19344,41774,1912,23428,597,8665,8343
2009-2013,B11016_6_5-person_household,126267,2131,25314,1426,15532,3576,20307,8776,21662,810,11792,331,3962,4223
2009-2013,B11016_7_6-person_household,52134,872,7621,432,6366,1512,6809,3179,8147,312,4862,105,1359,1478
2009-2013,B11016_8_7-or-more_person_household,38093,605,3388,173,4795,779,3704,1493,4168,141,3149,64,679,640
2009-2013,B11016_9_nonfamily_households,746726,14880,97204,5291,42869,8596,62001,26311,51522,2777,59771,1515,18052,20619
2009-2013,B11016_10_1-person_household,620864,10855,82865,4408,35333,7106,52750,21677,43172,2508,52169,1321,15089,16553
2009-2013,B11016_11_2-person_household,105531,2777,12466,769,6190,1221,7829,4185,7137,251,6370,166,2513,3429
2009-2013,B11016_12_3-person_household,14542,880,1106,48,793,269,1032,311,896,18,926,18,299,490
2009-2013,B11016_13_4-person_household,4384,207,683,42,382,0,268,96,201,0,229,10,89,109
2009-2013,B11016_14_5-person_household,961,153,53,24,67,0,110,13,69,0,69,0,4,23
2009-2013,B11016_15_6-person_household,301,0,0,0,25,0,0,29,20,0,8,0,24,8
2009-2013,B11016_16_7-or-more_person_household,143,8,31,0,79,0,12,0,27,0,0,0,34,7
