index,48015,48039,48071,48157,48167,48201,48291,48339,48473,estimate_year
B03002_16_asian_alone,0,0,5,781,113,2410,0,297,0,2009-2013
B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,14,0,0,36,381,9,0,0,2009-2013
B03002_18_some_other_race_alone,1048,15259,1791,30399,6191,378057,4659,16421,1252,2009-2013
B03002_19_two_or_more_races,112,1631,431,5147,2164,35530,536,2947,637,2009-2013
B03002_20_two_races_including_some_other_race,108,1009,94,2842,980,20146,506,1421,332,2009-2013
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",4,622,337,2305,1184,15384,30,1526,305,2009-2013
B11005_1_total,10615,107717,12147,191406,110032,1434694,24844,163462,13601,2009-2013
B11005_2_households_with_one_or_more_people_under_18_years,3139,44445,4953,92461,39391,568612,9690,62684,4799,2009-2013
B11005_3_family_households,3114,44151,4901,92226,38925,564407,9618,62291,4799,2009-2013
B11005_4_married-couple_family,2360,31392,3828,71110,26860,361741,6584,45644,3273,2009-2013
B11005_5_other_family,754,12759,1073,21116,12065,202666,3034,16647,1526,2009-2013
"B11005_6_male_householder,_no_wife_present",141,2933,591,5023,2578,46661,737,4898,373,2009-2013
"B11005_7_female_householder,_no_husband_present",613,9826,482,16093,9487,156005,2297,11749,1153,2009-2013
B11005_8_nonfamily_households,25,294,52,235,466,4205,72,393,0,2009-2013
B11005_9_male_householder,0,266,52,183,441,3157,55,336,0,2009-2013
B11005_10_female_householder,25,28,0,52,25,1048,17,57,0,2009-2013
B11005_11_households_with_no_people_under_18_years,7476,63272,7194,98945,70641,866082,15154,100778,8802,2009-2013
B11005_12_family_households,4403,35870,4938,66526,37190,419713,8917,59006,5035,2009-2013
B11005_13_married-couple_family,3922,29937,4423,55246,30266,316139,7290,50294,4027,2009-2013
B11005_14_other_family,481,5933,515,11280,6924,103574,1627,8712,1008,2009-2013
"B11005_15_male_householder,_no_wife_present",105,2056,239,3738,2098,36648,548,3163,274,2009-2013
"B11005_16_female_householder,_no_husband_present",376,3877,276,7542,4826,66926,1079,5549,734,2009-2013
B11005_17_nonfamily_households,3073,27402,2256,32419,33451,446369,6237,41772,3767,2009-2013
B11005_18_male_householder,1323,13181,1343,13732,16464,228879,3155,19062,1957,2009-2013
B11005_19_female_householder,1750,14221,913,18687,16987,217490,3082,22710,1810,2009-2013
