estimate_year,index,TX_015,TX_039,TX_071,TX_157,TX_167,TX_201,TX_291,TX_339,TX_473
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",35,1568,230,557,845,4559,491,1932,235
2013-2017,B25127_31_built_1940_to_1959,785,7125,696,2375,6838,108482,1525,2497,534
2013-2017,"B25127_32_1,_detached__or_attached",785,6993,696,2353,6702,106170,1522,2237,530
2013-2017,B25127_33_2_to_4,0,37,0,0,84,669,0,0,4
2013-2017,B25127_34_5_to_19,0,0,0,22,0,263,0,0,0
2013-2017,B25127_35_20_to_49,0,0,0,0,0,112,0,0,0
2013-2017,B25127_36_50_or_more,0,0,0,0,8,574,0,0,0
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,95,0,0,44,694,3,260,0
2013-2017,B25127_38_built_1939_or_earlier,778,986,370,953,3114,24016,538,596,466
2013-2017,"B25127_39_1,_detached__or_attached",778,975,370,837,2913,22980,502,582,426
2013-2017,B25127_40_2_to_4,0,8,0,0,74,402,0,0,0
2013-2017,B25127_41_5_to_19,0,0,0,0,58,52,0,0,0
2013-2017,B25127_42_20_to_49,0,0,0,0,23,96,0,0,0
2013-2017,B25127_43_50_or_more,0,0,0,0,0,331,0,14,0
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",0,3,0,116,46,155,36,0,40
2013-2017,B25127_45_renter_occupied,2846,32872,2297,48797,39582,707184,6534,53779,4614
2013-2017,B25127_46_built_2010_or_later,23,3881,144,6164,2203,40975,439,6835,249
2013-2017,"B25127_47_1,_detached__or_attached",23,340,0,1702,545,6724,153,1613,105
2013-2017,B25127_48_2_to_4,0,180,0,146,373,2320,152,194,45
2013-2017,B25127_49_5_to_19,0,1312,106,2265,508,10154,39,1834,0
2013-2017,B25127_50_20_to_49,0,1419,0,730,208,4221,0,1545,0
2013-2017,B25127_51_50_or_more,0,441,0,1303,531,17243,0,1433,0
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,189,38,18,38,313,95,216,99
2013-2017,B25127_53_built_2000_to_2009,427,6317,456,13346,7814,125071,627,15967,949
2013-2017,"B25127_54_1,_detached__or_attached",105,2069,169,6582,2183,31965,171,5877,207
2013-2017,B25127_55_2_to_4,198,354,0,374,582,7016,74,857,309
2013-2017,B25127_56_5_to_19,41,2279,77,3097,2261,36404,93,3610,109
2013-2017,B25127_57_20_to_49,0,702,0,1074,970,12507,0,1688,0
2013-2017,B25127_58_50_or_more,16,476,63,1819,1057,34407,26,2453,0
