index,34001,34005,34007,34009,34011,34015,34033,10001,10003,42011,42017,42029,42045,42091,42101,24009,24017,24021,24031,24033,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,nj,nj,nj,nj,nj,nj,nj,de,de,pa,pa,pa,pa,pa,pa,md,md,md,md,md,2012-2016
"B19001_8_$35,000_to_$39,999",4702,5110,7120,1802,2691,3716,747,3192,8126,6938,7937,6104,8080,10933,27664,654,1407,2856,9909,10783,2012-2016
"B19001_9_$40,000_to_$44,999",4613,6333,6795,1728,2229,3767,1152,2917,8591,7228,9355,6536,8353,10917,28698,927,1450,2880,10348,12794,2012-2016
"B19001_10_$45,000_to_$49,999",4436,5501,6915,1656,2113,3177,1026,2609,7758,5919,8579,5779,7044,10123,23225,696,1312,2428,10748,11354,2012-2016
"B19001_11_$50,000_to_$59,999",7884,12444,13401,3259,4015,6867,1899,5676,15453,12838,16230,12136,14991,20240,43513,1619,2981,6645,21450,24908,2012-2016
"B19001_12_$60,000_to_$74,999",10153,16200,17024,4102,5017,10335,2376,7008,21161,16623,22822,15733,19201,28587,48577,3238,5057,8983,31070,34229,2012-2016
"B19001_13_$75,000_to_$99,999",12054,23606,24001,5032,6388,14707,3167,8647,27691,21224,31519,23584,25379,42195,54696,4405,8460,12347,45319,45146,2012-2016
"B19001_14_$100,000_to_$124,999",8713,19140,17886,3906,4080,13418,2447,5378,19533,13583,25511,20317,20247,34372,33257,3843,6706,10911,40578,35589,2012-2016
"B19001_15_$125,000_to_$149,999",5107,12794,12925,2353,2492,8590,1887,3024,13419,8273,19323,15941,13627,24246,20951,3938,5364,8471,30582,24547,2012-2016
"B19001_16_$150,000_to_$199,999",6364,16018,13400,2295,1812,10391,1513,2615,15015,7616,22207,19892,15388,28970,19517,4265,6734,9854,44291,28328,2012-2016
"B19001_17_$200,000_or_more",4846,15477,11296,2148,1347,7583,943,1869,13519,5832,24220,27292,16803,37567,17739,3219,5359,8409,69209,21559,2012-2016
B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),55456,80034,63028,59338,49537,78592,61341,55184,66283,57068,79559,88995,66576,81902,39770,96808,91373,85715,100352,75925,2012-2016
B25001_1_total,127617,177623,205800,98900,56299,112106,27630,68106,220459,164853,246869,195720,221969,327785,671125,34613,58014,93645,385485,330708,2012-2016
B25003_1_total,101083,164623,185722,40073,50718,104762,24255,62140,202524,152451,233517,186721,203610,309884,582594,31479,54105,88995,367764,306711,2012-2016
B25003_2_owner_occupied,67793,125666,124727,30605,32632,83145,17259,43088,139050,109472,178754,140527,141292,223629,305214,25783,41874,65946,241201,189084,2012-2016
B25003_3_renter_occupied,33290,38957,60995,9468,18086,21617,6996,19052,63474,42979,54763,46194,62318,86255,277380,5696,12231,23049,126563,117627,2012-2016
B25024_1_total,127617,177623,205800,98900,56299,112106,27630,68106,220459,164853,246869,195720,221969,327785,671125,34613,58014,93645,385485,330708,2012-2016
"B25024_2_1,_detached",73817,115542,113814,50710,37527,81842,20257,44794,119604,91832,155513,120885,101005,177946,53954,29800,41373,58939,183785,169818,2012-2016
"B25024_3_1,_attached",10096,26614,36851,21147,2846,8652,1577,5912,45064,39035,38473,34693,67238,67317,393350,2299,10640,18812,71517,53181,2012-2016
B25024_4_2,7928,3641,8982,9144,4063,3352,1014,734,4661,6467,7950,3985,11032,10287,57647,367,135,1064,2123,1510,2012-2016
B25024_5_3_or_4,5558,5950,7795,4485,2230,3096,744,1283,6396,6599,6482,5721,9405,13462,43703,216,826,1485,4817,5373,2012-2016
B25024_6_5_to_9,7161,7819,7910,2632,1931,4271,651,1745,9542,5425,8583,6611,6103,10413,25325,144,753,2610,19496,23141,2012-2016
B25024_7_10_to_19,7034,7928,9851,2036,1579,3501,1099,3084,17169,3663,9779,7871,7226,12913,15399,548,996,6555,36907,47567,2012-2016
B25024_8_20_to_49,3232,3856,6174,2141,779,2200,226,1088,4413,2455,5441,5255,8935,8869,19723,258,1352,1412,10811,6561,2012-2016
B25024_9_50_or_more,9744,3888,12915,3180,1832,2630,842,793,8268,4393,9644,5638,10225,23728,60159,641,1212,2061,55229,21840,2012-2016
B25024_10_mobile_home,3047,2368,1497,3409,3512,2541,1220,8628,5286,4940,4880,5036,743,2786,1678,340,701,661,640,1661,2012-2016
"B25024_11_boat,_rv,_van,_etc.",0,17,11,16,0,21,0,45,56,44,124,25,57,64,187,0,26,46,160,56,2012-2016
B25077_1_median_value_(dollars),222200,245000,193500,296100,161900,213200,186200,199800,244300,169000,311600,331000,233300,293800,147300,344300,287600,306100,460100,261400,2012-2016
B25034_1_total,127617,177623,205800,98900,56299,112106,27630,68106,220459,164853,246869,195720,221969,327785,671125,34613,58014,93645,385485,330708,2012-2016
B25034_2_built_2014_or_later,205,621,278,301,138,198,22,442,635,518,557,584,264,751,1583,134,429,394,1681,1415,2012-2016
B25034_3_built_2010_to_2013,1628,2123,1877,898,543,2144,416,2951,3661,1406,2561,3726,1360,3671,5869,798,2293,2357,7576,4941,2012-2016
B25034_4_built_2000_to_2009,16462,19542,13724,15604,5832,17168,2120,19006,24398,17182,23099,30714,11165,30715,22506,7059,12772,16935,43234,36460,2012-2016
B25034_5_built_1990_to_1999,12984,25356,14670,9516,4813,15778,2229,12765,31169,19865,32170,30824,12150,37855,20562,8922,11976,20825,47691,45481,2012-2016
B25034_6_built_1980_to_1989,19569,26315,23514,17180,5872,16327,2396,8390,29549,17235,36980,31344,13640,37366,27068,7333,10376,16344,81650,46113,2012-2016
