index,17011,17031,17037,17043,17063,17089,17091,17093,17097,17099,17111,17155,17197,18073,18089,18091,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,il,il,il,il,il,il,il,il,il,il,il,il,il,in,in,in,in,in,wi,2007-2011
"B25024_2_1,_detached",13199,867604,24186,212999,13619,124877,32348,29744,174451,39930,89888,2478,175547,10607,147238,37578,5395,48902,46081,2007-2011
"B25024_3_1,_attached",230,119153,4032,43638,2155,17933,1613,6394,29853,1050,11547,62,28135,320,11916,920,54,2555,2342,2007-2011
B25024_4_2,524,222356,1585,3196,369,7936,1794,354,7025,1732,1823,81,5102,491,8275,1963,89,1937,5463,2007-2011
B25024_5_3_or_4,511,250449,1532,10593,798,7181,2104,685,7324,1767,2973,145,5045,296,10681,1734,71,2529,2732,2007-2011
B25024_6_5_to_9,377,206254,2733,22729,846,7792,2119,569,9278,1238,3714,49,5254,277,12259,1483,70,3078,3150,2007-2011
B25024_7_10_to_19,95,111367,2429,21629,461,5067,811,1067,10793,814,2771,0,6583,165,8110,1250,60,2069,2867,2007-2011
B25024_8_20_to_49,46,123511,1869,18358,191,3425,425,300,8050,331,1052,0,2571,66,3287,643,43,949,3123,2007-2011
B25024_9_50_or_more,269,260473,1371,22419,264,5287,781,230,7758,831,907,0,4337,35,3298,589,0,252,1305,2007-2011
B25024_10_mobile_home,448,15582,1031,575,1104,1263,3119,80,4772,2209,847,251,3591,823,3407,2216,243,3657,2023,2007-2011
"B25024_11_boat,_rv,_van,_etc.",0,769,4,39,0,0,0,9,54,0,36,0,52,0,17,33,0,13,0,2007-2011
B25077_1_median_value_(dollars),103800,256900,188100,309800,191500,241600,147700,239300,280900,127500,243500,126800,236300,143200,136400,120500,108800,167000,180000,2007-2011
B25034_1_total,15699,2177518,40772,356175,19807,180761,45114,39432,259358,49902,115558,3066,236217,13080,208488,48409,6025,65941,69086,2007-2011
B25034_2_built_2005_or_later,286,61944,3649,9698,1889,14817,2516,8810,11971,1741,7978,60,18859,837,8516,1451,107,3424,3261,2007-2011
B25034_3_built_2000_to_2004,464,96034,5093,21222,3612,24158,3369,10414,27119,2766,16715,100,45220,1351,12879,2745,384,6210,6810,2007-2011
B25034_4_built_1990_to_1999,972,124911,5848,54386,2984,29458,6155,6263,50619,5678,26863,509,54136,2622,19224,5855,759,12124,10278,2007-2011
B25034_5_built_1980_to_1989,802,145021,3157,62936,1818,16767,3292,1788,38672,3402,14772,154,21021,1034,14018,3387,360,8025,4990,2007-2011
B25034_6_built_1970_to_1979,1991,259670,5848,88485,2776,23431,7712,4548,41807,5558,16967,584,33463,2597,27530,6685,1127,14447,8684,2007-2011
B25034_7_built_1960_to_1969,1550,284318,4620,47973,1530,17523,5029,2721,25870,4588,8504,327,19767,940,28014,6033,641,8046,7059,2007-2011
B25034_8_built_1950_to_1959,1897,347364,3871,38486,1529,18195,6927,1844,28632,6331,9484,203,18224,1017,38398,6702,701,5816,9729,2007-2011
B25034_9_built_1940_to_1949,1199,179068,1408,11227,795,7246,3184,586,10131,3955,3794,117,7843,697,21790,4180,346,2405,4768,2007-2011
B25034_10_built_1939_or_earlier,6538,679188,7278,21762,2874,29166,6930,2458,24537,15883,10481,1012,17684,1985,38119,11371,1600,5444,13507,2007-2011
B25127_1_total,14404,1934771,38011,335651,18297,169528,41086,36856,239947,45000,108361,2482,221722,12175,183198,42255,5370,61399,62215,2007-2011
B25127_2_owner_occupied,10908,1156652,23863,254592,13839,129816,28700,31770,186237,34414,90852,1942,187321,9478,129462,31712,4284,47484,42605,2007-2011
B25127_3_built_2000_or_later,446,87579,5670,20685,3915,31486,3894,16017,28683,3030,20444,126,55345,1614,16543,3024,450,7735,6515,2007-2011
"B25127_4_1,_detached__or_attached",386,48282,5525,18551,3701,29722,3500,15759,26249,2836,19853,121,53301,1595,15304,2689,450,7429,5794,2007-2011
B25127_5_2_to_4,0,6732,42,122,55,682,40,35,302,8,172,0,517,0,461,9,0,45,59,2007-2011
B25127_6_5_to_19,0,9630,27,652,0,631,19,196,598,9,266,0,759,0,454,19,0,0,434,2007-2011
B25127_7_20_to_49,0,5665,0,738,0,157,10,0,458,0,6,0,0,0,48,0,0,0,59,2007-2011
B25127_8_50_or_more,0,15760,0,569,0,169,10,0,311,0,0,0,120,0,15,35,0,0,0,2007-2011
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",60,1510,76,53,159,125,315,27,765,177,147,5,648,19,261,272,0,261,169,2007-2011
B25127_10_built_1980_to_1999,1281,159174,5178,84984,3389,37401,5815,6811,68669,6374,34690,450,64477,2533,22442,6378,783,13999,9622,2007-2011
"B25127_11_1,_detached__or_attached",1134,109349,4600,76921,2930,35301,4545,6678,63449,5489,33260,412,61442,2232,19906,5581,702,11915,8433,2007-2011
