estimate_year,index,FL_011,FL_086,FL_099
2013-2017,FILEID,ACSSF,ACSSF,ACSSF
2013-2017,B25127_1_total,675828,858289,543591
2013-2017,B25127_2_owner_occupied,420780,448011,372677
2013-2017,B25127_3_built_2010_or_later,4122,6661,7405
2013-2017,"B25127_4_1,_detached__or_attached",3428,5444,6903
2013-2017,B25127_5_2_to_4,31,111,82
2013-2017,B25127_6_5_to_19,106,335,182
2013-2017,B25127_7_20_to_49,74,111,32
2013-2017,B25127_8_50_or_more,155,519,90
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",328,141,116
2013-2017,B25127_10_built_2000_to_2009,45727,53132,64048
2013-2017,"B25127_11_1,_detached__or_attached",36719,36956,56510
2013-2017,B25127_12_2_to_4,972,1050,1152
2013-2017,B25127_13_5_to_19,1743,2356,1348
2013-2017,B25127_14_20_to_49,1084,1730,960
2013-2017,B25127_15_50_or_more,3252,10323,2369
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",1957,717,1709
2013-2017,B25127_17_built_1980_to_1999,156606,133841,175760
2013-2017,"B25127_18_1,_detached__or_attached",116959,97810,133459
2013-2017,B25127_19_2_to_4,3655,3577,11830
2013-2017,B25127_20_5_to_19,9901,8606,11843
2013-2017,B25127_21_20_to_49,11250,5350,8275
2013-2017,B25127_22_50_or_more,11099,15249,6486
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",3742,3249,3867
2013-2017,B25127_24_built_1960_to_1979,166946,136779,96332
2013-2017,"B25127_25_1,_detached__or_attached",103126,93835,58915
2013-2017,B25127_26_2_to_4,3540,2568,6352
2013-2017,B25127_27_5_to_19,9560,5151,7964
2013-2017,B25127_28_20_to_49,19392,8630,10773
2013-2017,B25127_29_50_or_more,25740,23985,7868
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",5588,2610,4460
2013-2017,B25127_31_built_1940_to_1959,44673,103508,24053
2013-2017,"B25127_32_1,_detached__or_attached",40100,97338,21483
2013-2017,B25127_33_2_to_4,965,1215,583
2013-2017,B25127_34_5_to_19,778,1449,502
2013-2017,B25127_35_20_to_49,1102,1391,529
2013-2017,B25127_36_50_or_more,1450,1607,627
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",278,508,329
2013-2017,B25127_38_built_1939_or_earlier,2706,14090,5079
2013-2017,"B25127_39_1,_detached__or_attached",2057,12628,4417
2013-2017,B25127_40_2_to_4,115,399,149
2013-2017,B25127_41_5_to_19,156,426,136
2013-2017,B25127_42_20_to_49,159,262,156
2013-2017,B25127_43_50_or_more,183,236,76
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",36,139,145
2013-2017,B25127_45_renter_occupied,255048,410278,170914
2013-2017,B25127_46_built_2010_or_later,7873,13849,5718
2013-2017,"B25127_47_1,_detached__or_attached",1157,1674,1297
2013-2017,B25127_48_2_to_4,751,938,727
2013-2017,B25127_49_5_to_19,2144,3234,1178
2013-2017,B25127_50_20_to_49,1301,1917,1242
2013-2017,B25127_51_50_or_more,2414,6051,1155
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",106,35,119
2013-2017,B25127_53_built_2000_to_2009,28265,52789,27951
2013-2017,"B25127_54_1,_detached__or_attached",8267,13174,9799
2013-2017,B25127_55_2_to_4,2484,3867,2754
2013-2017,B25127_56_5_to_19,7484,8793,7056
2013-2017,B25127_57_20_to_49,3729,5257,3316
2013-2017,B25127_58_50_or_more,5539,21252,4183
