index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2008-2012
"B19001_7_$30,000_to_$34,999",9711,836,49315,9584,2243,773,2802,1902,1310,768,1739,2974,1662,934,719,2085,629,79,33722,1030,1091,2008-2012
"B19001_8_$35,000_to_$39,999",10118,672,44631,9656,1878,467,2713,1696,951,955,1571,2741,1381,1092,565,1661,605,334,30857,952,1062,2008-2012
"B19001_9_$40,000_to_$44,999",11028,626,44816,9402,2191,761,2286,1768,888,686,1571,2865,1452,1001,679,1533,1046,161,31711,1224,1052,2008-2012
"B19001_10_$45,000_to_$49,999",9053,823,37412,8519,2260,528,2093,1324,1315,721,1480,2425,1281,684,274,1844,1009,106,26285,1122,768,2008-2012
"B19001_11_$50,000_to_$59,999",18945,1380,71183,18989,4674,1034,3912,2819,1990,1093,2525,5090,3141,1537,820,2780,2100,269,55261,1896,1156,2008-2012
"B19001_12_$60,000_to_$74,999",26975,1410,84910,24866,5532,1091,4690,2788,2330,1514,2948,5765,4083,1901,1142,4494,2677,314,69230,2120,1492,2008-2012
"B19001_13_$75,000_to_$99,999",39323,2065,91883,32323,7619,1579,5971,2965,2155,1325,3389,7650,5325,1719,1264,5844,4311,424,83831,3235,1655,2008-2012
"B19001_14_$100,000_to_$124,999",35465,1005,59087,27983,5626,653,2951,1733,1606,774,2337,4881,3523,1032,797,4418,3341,264,57715,1933,826,2008-2012
"B19001_15_$125,000_to_$149,999",23817,481,34972,18104,3174,378,1568,799,1138,236,939,2513,2196,497,260,2488,2109,166,34874,896,263,2008-2012
"B19001_16_$150,000_to_$199,999",28495,460,34468,19820,2350,158,1503,755,1246,401,1060,2251,1499,300,158,3294,2865,82,33063,703,294,2008-2012
"B19001_17_$200,000_or_more",28273,401,41982,17557,1992,200,1184,585,787,262,706,1253,1051,434,277,2175,1984,153,31329,670,234,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),83238,49735,49159,72939,62832,43382,46587,41100,54902,42257,45170,57016,61564,41511,43041,65299,82725,51618,56859,55492,37883,2008-2012
B25001_1_total,301250,16575,944055,255790,54354,14147,53762,39543,24715,15014,36581,56723,38047,20238,15207,46173,27947,3642,714057,23634,19523,2008-2012
B25003_1_total,283025,14489,849874,237732,50327,11783,46600,30311,20631,13262,30682,51776,34597,17441,10556,41640,26141,3221,651877,20352,16398,2008-2012
B25003_2_owner_occupied,196686,10123,452993,156580,37653,8807,32141,23100,16060,9551,21963,38817,27066,12056,7465,33148,21638,2333,406171,16271,10659,2008-2012
B25003_3_renter_occupied,86339,4366,396881,81152,12674,2976,14459,7211,4571,3711,8719,12959,7531,5385,3091,8492,4503,888,245706,4081,5739,2008-2012
