index,48085,48113,48121,48139,48221,48231,48251,48257,48367,48397,48425,48439,48497,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2009-2013
FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2009-2013
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2009-2013
B25127_39_built_2000_or_later,28695,65569,25729,3669,1156,1382,3126,2098,2432,1948,129,54295,834,2009-2013
"B25127_40_1,_detached__or_attached",7800,11042,6566,1301,512,406,1148,1133,838,1216,66,15879,296,2009-2013
B25127_41_2_to_4,1476,5445,1379,650,44,200,769,292,471,13,0,4576,141,2009-2013
B25127_42_5_to_19,8469,17642,7153,889,68,407,399,307,376,209,21,17841,89,2009-2013
B25127_43_20_to_49,3693,6733,6115,222,47,129,173,19,110,195,0,6856,35,2009-2013
B25127_44_50_or_more,6806,23944,3812,328,187,107,126,55,56,303,0,8227,28,2009-2013
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",451,763,704,279,298,133,511,292,581,12,42,916,245,2009-2013
B25127_46_built_1980_to_1999,48970,140701,42224,4037,2150,3696,4187,2533,3039,1490,389,101019,1418,2009-2013
"B25127_47_1,_detached__or_attached",8431,21939,7454,1556,582,1000,1396,909,1333,775,78,22937,559,2009-2013
B25127_48_2_to_4,3167,14862,2846,591,330,403,812,447,457,162,13,13685,103,2009-2013
B25127_49_5_to_19,23562,58659,18940,757,348,1070,572,421,242,220,51,40713,95,2009-2013
B25127_50_20_to_49,6294,19222,7525,67,37,117,94,38,77,105,15,10303,23,2009-2013
B25127_51_50_or_more,6436,23092,3382,258,134,317,88,84,86,64,0,11090,8,2009-2013
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",1080,2927,2077,808,719,789,1225,634,844,164,232,2291,630,2009-2013
B25127_53_built_1960_to_1979,11409,139716,12135,3115,1079,2488,3779,2227,2138,555,187,64218,1115,2009-2013
"B25127_54_1,_detached__or_attached",4865,35222,4518,1760,357,1114,1811,1368,925,254,89,22518,429,2009-2013
B25127_55_2_to_4,1338,14151,1502,632,139,234,809,222,122,67,33,10991,191,2009-2013
B25127_56_5_to_19,3050,60252,3906,331,61,482,303,321,509,136,48,20467,155,2009-2013
B25127_57_20_to_49,862,14672,963,106,37,154,223,105,80,45,17,3570,27,2009-2013
B25127_58_50_or_more,994,14506,871,84,28,202,72,8,47,0,0,5775,0,2009-2013
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",300,913,375,202,457,302,561,203,455,53,0,897,313,2009-2013
B25127_60_built_1940_to_1959,2116,47892,2797,1290,168,1330,1060,603,864,238,96,24946,401,2009-2013
"B25127_61_1,_detached__or_attached",1460,30425,2065,1008,148,757,915,497,622,225,96,17990,389,2009-2013
B25127_62_2_to_4,126,4029,207,194,0,109,10,58,181,13,0,2617,9,2009-2013
B25127_63_5_to_19,351,7503,302,46,0,376,73,23,21,0,0,1977,0,2009-2013
B25127_64_20_to_49,88,2819,121,18,0,32,22,25,0,0,0,1079,3,2009-2013
B25127_65_50_or_more,72,2984,59,6,0,39,11,0,0,0,0,1151,0,2009-2013
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",19,132,43,18,20,17,29,0,40,0,0,132,0,2009-2013
B25127_67_built_1939_or_earlier,1003,13407,1076,841,138,397,672,300,345,177,36,8126,202,2009-2013
"B25127_68_1,_detached__or_attached",672,6752,789,671,138,363,614,300,345,124,36,5491,202,2009-2013
B25127_69_2_to_4,188,1690,62,54,0,0,0,0,0,0,0,1227,0,2009-2013
B25127_70_5_to_19,92,1886,224,100,0,34,11,0,0,0,0,822,0,2009-2013
B25127_71_20_to_49,0,909,0,0,0,0,26,0,0,0,0,132,0,2009-2013
B25127_72_50_or_more,36,2079,1,16,0,0,21,0,0,53,0,409,0,2009-2013
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",15,91,0,0,0,0,0,0,0,0,0,45,0,2009-2013
B03002_1_total,811308,2412481,687857,152020,51756,86455,152384,105220,118478,81020,8537,1848423,59894,2009-2013
