estimate_year,index,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,NJ_003,NJ_013,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_035,NJ_037,NJ_039,PA_103
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5
2009-2013,STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa
2009-2013,B01001_40_50_to_54_years,48786,12249,86894,56069,50893,14137,4574,83369,18540,11323,60599,38214,37720,29437,20683,6432,30724,28082,21100,20240,18487,14294,6939,21040,2539
2009-2013,B01001_41_55_to_59_years,41489,10669,78763,48111,48546,11007,4071,75261,16641,10231,52339,34618,33838,25476,18839,5355,26255,23870,17778,18827,15728,11367,5706,17791,2089
2009-2013,B01001_42_60_and_61_years,14946,3863,31600,19637,19746,4598,1223,27714,6651,4010,17321,12040,11695,9412,6711,1604,9516,7867,6205,7978,6085,3901,2154,6828,686
2009-2013,B01001_43_62_to_64_years,20003,4836,40378,23940,30297,6440,1696,37911,8452,5125,24974,15706,16155,12389,8650,2588,13126,11650,8842,11763,8098,5634,2908,8306,1319
2009-2013,B01001_44_65_and_66_years,11689,3219,24027,14105,17013,3104,887,22212,4941,3257,15715,10117,9823,7678,5592,1181,7479,6712,5583,8278,4707,3016,1563,5135,678
2009-2013,B01001_45_67_to_69_years,15296,3723,27926,16877,22450,4221,1692,27332,5628,4177,19913,12495,12186,8161,6240,1805,8776,7810,6473,10615,5889,3627,1953,5976,1057
2009-2013,B01001_46_70_to_74_years,21814,5069,39521,25174,29101,5440,1424,38673,8409,5421,26267,17120,16682,12042,9310,2093,12968,10817,8163,14939,7912,5381,2221,8342,1479
2009-2013,B01001_47_75_to_79_years,15994,4337,31667,21646,22433,3856,968,30360,5882,4832,21444,14889,13443,9548,6929,1619,10802,9201,6969,13645,6046,4014,1647,6750,913
2009-2013,B01001_48_80_to_84_years,13666,3355,26905,20026,18330,3205,1143,26252,5017,3335,18265,13551,13313,8237,6045,1254,9268,7542,6053,11599,5320,3556,1421,6315,554
2009-2013,B01001_49_85_years_and_over,14601,3784,28726,23798,22219,4369,1074,29769,6211,4255,18489,15824,15849,9842,6122,1427,10227,10019,7148,12799,6491,4797,1423,8231,578
