index,48015,48039,48071,48157,48167,48201,48291,48321,48339,48455,48471,48473,48477,48481,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2012-2016
"B25024_3_1,_attached",258,1354,118,4979,2532,69126,231,221,3984,81,585,395,156,84,2012-2016
B25024_4_2,84,975,33,624,3248,21217,456,113,1092,135,1271,347,429,309,2012-2016
B25024_5_3_or_4,535,2123,32,1215,3922,49634,474,721,2574,92,970,758,303,426,2012-2016
B25024_6_5_to_9,284,5203,278,4515,5272,95712,251,1219,4955,54,966,525,169,438,2012-2016
B25024_7_10_to_19,18,6916,92,8709,7593,187964,537,441,8650,39,2062,123,127,303,2012-2016
B25024_8_20_to_49,117,3682,132,3857,4333,95297,165,119,6382,8,1185,65,376,121,2012-2016
B25024_9_50_or_more,55,2626,159,4741,6169,155513,349,168,6573,0,469,185,269,315,2012-2016
B25024_10_mobile_home,2190,13655,2969,7088,6587,42506,9053,3280,26954,3123,5292,3767,2138,2408,2012-2016
"B25024_11_boat,_rv,_van,_etc.",10,362,41,115,435,1275,306,66,516,27,37,90,0,37,2012-2016
B25077_1_median_value_(dollars),164300,157100,158700,217600,161100,145600,89100,98700,190000,78000,123600,153800,156000,107000,2012-2016
B25034_1_total,13005,126945,14440,224504,140048,1687657,29609,19069,196210,8753,25003,16148,15750,17371,2012-2016
B25034_2_built_2014_or_later,119,1223,308,5542,1274,13498,129,146,3461,56,219,147,125,148,2012-2016
B25034_3_built_2010_to_2013,444,6848,863,22746,5930,60337,1135,211,12817,63,826,764,474,425,2012-2016
