estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015,MSA
2005-2009,B01001_28_5_to_9_years,14517,16573,9313,1815,18341,16420,16772,23985,45900,16887,3183,37980.0
2005-2009,B01001_29_10_to_14_years,14673,17687,9783,2533,21785,16526,18447,24613,48983,16656,3822,37980.0
2005-2009,B01001_30_15_to_17_years,9537,11605,6379,1601,13549,10414,12138,15887,32349,11049,2245,37980.0
2005-2009,B01001_31_18_and_19_years,4912,6347,3820,768,7248,7574,9420,9935,25390,8710,1175,37980.0
2005-2009,B01001_32_20_years,2810,3317,2184,414,3722,3563,3935,4293,13465,4389,541,37980.0
2005-2009,B01001_33_21_years,2053,2678,1956,345,3571,2997,4394,4418,12294,3555,621,37980.0
2005-2009,B01001_34_22_to_24_years,7761,10355,4783,1161,10427,8321,10772,13697,30854,9109,1689,37980.0
2005-2009,B01001_35_25_to_29_years,12004,17761,9473,2006,15154,12255,17160,21688,72038,19646,3069,37980.0
2005-2009,B01001_36_30_to_34_years,13027,16634,8882,1845,16125,13536,16356,22835,60703,18064,3072,37980.0
2005-2009,B01001_37_35_to_39_years,16162,18369,10793,2087,21921,17367,18316,27704,53045,20130,3537,37980.0
2005-2009,B01001_38_40_to_44_years,18342,20511,11520,2641,25346,20069,20467,29753,55009,19750,4679,37980.0
2005-2009,B01001_39_45_to_49_years,19119,20950,12285,2702,28169,20907,22675,32793,55234,21159,4133,37980.0
2005-2009,B01001_40_50_to_54_years,16733,19271,10758,2649,25577,18658,21249,30190,52139,19241,3537,37980.0
2005-2009,B01001_41_55_to_59_years,14343,16434,9140,2319,21652,16136,16725,25569,44444,15656,3263,37980.0
2005-2009,B01001_42_60_and_61_years,5312,5879,2894,801,7266,4879,6226,9099,16907,5696,1099,37980.0
2005-2009,B01001_43_62_to_64_years,6730,6927,4018,966,9330,6906,8266,11443,21465,8054,1180,37980.0
2005-2009,B01001_44_65_and_66_years,4124,4132,2277,528,5484,4139,4644,7152,12944,3894,860,37980.0
2005-2009,B01001_45_67_to_69_years,5217,5915,2980,729,6912,4458,5670,8274,16375,5149,951,37980.0
2005-2009,B01001_46_70_to_74_years,7167,7478,4479,1176,10212,7190,9459,13617,25487,7899,1441,37980.0
2005-2009,B01001_47_75_to_79_years,6625,7068,3829,1151,9330,6933,9902,13283,23449,7024,1110,37980.0
2005-2009,B01001_48_80_to_84_years,5520,7060,3277,1000,7897,5687,9035,12404,21658,6067,918,37980.0
2005-2009,B01001_49_85_years_and_over,5601,6442,2779,824,8620,5290,9159,12485,21464,5882,839,37980.0
2005-2009,B02001_1_total,446301,516937,284552,65982,621241,486301,555018,776306,1531112,527774,99069,37980.0
2005-2009,B02001_2_white_alone,336538,345381,240484,53205,566061,427339,420968,654666,666727,370846,90194,37980.0
2005-2009,B02001_3_black_or_african_american_alone,71305,97427,27645,9940,22494,30064,99158,61896,654432,119442,5475,37980.0
2005-2009,B02001_4_american_indian_and_alaska_native_alone,553,1538,328,202,652,374,391,554,3558,1175,242,37980.0
2005-2009,B02001_5_asian_alone,17922,23529,6362,405,20649,15477,24125,40582,84048,20105,1006,37980.0
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,19,163,72,24,221,59,152,339,493,46,44,37980.0
2005-2009,B02001_7_some_other_race_alone,9098,37179,3994,1332,4764,7034,3953,6782,94672,8267,458,37980.0
2005-2009,B02001_8_two_or_more_races,10866,11720,5667,874,6400,5954,6271,11487,27182,7893,1650,37980.0
2005-2009,B02001_9_two_races_including_some_other_race,1630,2940,671,132,996,723,547,1455,5851,706,48,37980.0
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",9236,8780,4996,742,5404,5231,5724,10032,21331,7187,1602,37980.0
2005-2009,B11001_1_total,165336,192095,100680,25194,227204,175312,204481,298326,566697,195137,35872,37980.0
