"NAME","year","CBSA","hhs_type","hhs_share","hhs_type_name"
"Atlanta-Sandy Springs-Roswell, GA",2017,12060,"hhs_2",0.313499700598065,"hh size: 2"
"Boston-Cambridge-Newton, MA-NH",1970,14460,"hhs_2",NA,"hh size: 2"
"Boston-Cambridge-Newton, MA-NH",1980,14460,"hhs_2",0.296468112460183,"hh size: 2"
"Boston-Cambridge-Newton, MA-NH",1990,14460,"hhs_2",0.307218064188761,"hh size: 2"
"Boston-Cambridge-Newton, MA-NH",2000,14460,"hhs_2",0.311638548279388,"hh size: 2"
"Boston-Cambridge-Newton, MA-NH",2009,14460,"hhs_2",0.315907171455058,"hh size: 2"
"Boston-Cambridge-Newton, MA-NH",2013,14460,"hhs_2",0.32139028721864,"hh size: 2"
"Boston-Cambridge-Newton, MA-NH",2017,14460,"hhs_2",0.327061263674135,"hh size: 2"
"Chicago-Naperville-Elgin, IL-IN-WI",1970,16980,"hhs_2",NA,"hh size: 2"
"Chicago-Naperville-Elgin, IL-IN-WI",1980,16980,"hhs_2",0.284592955105956,"hh size: 2"
"Chicago-Naperville-Elgin, IL-IN-WI",1990,16980,"hhs_2",0.289055168247423,"hh size: 2"
"Chicago-Naperville-Elgin, IL-IN-WI",2000,16980,"hhs_2",0.288436949166078,"hh size: 2"
"Chicago-Naperville-Elgin, IL-IN-WI",2009,16980,"hhs_2",0.294969427034758,"hh size: 2"
"Chicago-Naperville-Elgin, IL-IN-WI",2013,16980,"hhs_2",0.297133192098055,"hh size: 2"
"Chicago-Naperville-Elgin, IL-IN-WI",2017,16980,"hhs_2",0.306997900227787,"hh size: 2"
"Dallas-Fort Worth-Arlington, TX",1970,19100,"hhs_2",NA,"hh size: 2"
"Dallas-Fort Worth-Arlington, TX",1980,19100,"hhs_2",0.312434560455669,"hh size: 2"
"Dallas-Fort Worth-Arlington, TX",1990,19100,"hhs_2",0.304603515324516,"hh size: 2"
"Dallas-Fort Worth-Arlington, TX",2000,19100,"hhs_2",0.302418696553852,"hh size: 2"
"Dallas-Fort Worth-Arlington, TX",2009,19100,"hhs_2",0.303395170052142,"hh size: 2"
"Dallas-Fort Worth-Arlington, TX",2013,19100,"hhs_2",0.306776594449958,"hh size: 2"
"Dallas-Fort Worth-Arlington, TX",2017,19100,"hhs_2",0.308682638811494,"hh size: 2"
"Houston-The Woodlands-Sugar Land, TX",1970,26420,"hhs_2",NA,"hh size: 2"
"Houston-The Woodlands-Sugar Land, TX",1980,26420,"hhs_2",0.291201766358748,"hh size: 2"
"Houston-The Woodlands-Sugar Land, TX",1990,26420,"hhs_2",0.28223565420845,"hh size: 2"
"Houston-The Woodlands-Sugar Land, TX",2000,26420,"hhs_2",0.285879003066843,"hh size: 2"
"Houston-The Woodlands-Sugar Land, TX",2009,26420,"hhs_2",0.296477854978164,"hh size: 2"
"Houston-The Woodlands-Sugar Land, TX",2013,26420,"hhs_2",0.297509617997039,"hh size: 2"
"Houston-The Woodlands-Sugar Land, TX",2017,26420,"hhs_2",0.296896275292629,"hh size: 2"
"Los Angeles-Long Beach-Anaheim, CA",1970,31080,"hhs_2",NA,"hh size: 2"
"Los Angeles-Long Beach-Anaheim, CA",1980,31080,"hhs_2",0.301563052467016,"hh size: 2"
"Los Angeles-Long Beach-Anaheim, CA",1990,31080,"hhs_2",0.287115844561299,"hh size: 2"
"Los Angeles-Long Beach-Anaheim, CA",2000,31080,"hhs_2",0.26811171601841,"hh size: 2"
"Los Angeles-Long Beach-Anaheim, CA",2009,31080,"hhs_2",0.275739734463126,"hh size: 2"
"Los Angeles-Long Beach-Anaheim, CA",2013,31080,"hhs_2",0.279703589417153,"hh size: 2"
"Los Angeles-Long Beach-Anaheim, CA",2017,31080,"hhs_2",0.284594787154406,"hh size: 2"
"Miami-Fort Lauderdale-West Palm Beach, FL",1970,33100,"hhs_2",NA,"hh size: 2"
"Miami-Fort Lauderdale-West Palm Beach, FL",1980,33100,"hhs_2",0.41979246132777,"hh size: 2"
"Miami-Fort Lauderdale-West Palm Beach, FL",1990,33100,"hhs_2",0.389605711914326,"hh size: 2"
"Miami-Fort Lauderdale-West Palm Beach, FL",2000,33100,"hhs_2",0.321726655686456,"hh size: 2"
"Miami-Fort Lauderdale-West Palm Beach, FL",2009,33100,"hhs_2",0.325104151977928,"hh size: 2"
"Miami-Fort Lauderdale-West Palm Beach, FL",2013,33100,"hhs_2",0.318916617430716,"hh size: 2"
"Miami-Fort Lauderdale-West Palm Beach, FL",2017,33100,"hhs_2",0.321300201953306,"hh size: 2"
"New York-Newark-Jersey City, NY-NJ-PA",1970,35620,"hhs_2",NA,"hh size: 2"
"New York-Newark-Jersey City, NY-NJ-PA",1980,35620,"hhs_2",0.288372249716724,"hh size: 2"
"New York-Newark-Jersey City, NY-NJ-PA",1990,35620,"hhs_2",0.286313099001357,"hh size: 2"
"New York-Newark-Jersey City, NY-NJ-PA",2000,35620,"hhs_2",0.282691410076738,"hh size: 2"
"New York-Newark-Jersey City, NY-NJ-PA",2009,35620,"hhs_2",0.290028087572686,"hh size: 2"
"New York-Newark-Jersey City, NY-NJ-PA",2013,35620,"hhs_2",0.289424638337337,"hh size: 2"
